"plot","habitat","technician","date"
"CSP01","grassland","Catharine",2008-09-29
"CSP02","clearcut","Catharine",2008-10-12
"CSP03","clearcut","Jason",2008-09-03
"CSP04","grassland","Catharine",2009-02-05
"CSP05","forest","Catharine",2009-04-23
"CSP06","clearcut","Jason",2008-12-02
"CSP07","clearcut","Jason",2009-03-28
"CSP08","forest","Catharine",2008-09-16
"CSP09","grassland","Catharine",2008-12-15
"CSP10","grassland","Jason",2008-10-24
"CSP11","forest","Jason",2009-03-15
"CSP12","clearcut","Catharine",2009-02-17
"CSP13","forest","Catharine",2008-07-13
"CSP14","clearcut","Jason",2008-11-19
"CSP15","clearcut","Yasir",2008-08-08
"CSP16","clearcut","Catharine",2009-01-23
"CSP17","grassland","Jason",2008-07-01
"CSP18","clearcut","Yasir",2009-05-06
"CSP19","forest","Jason",2009-06-01
"CSP20","forest","Yasir",2009-05-19
"CSP21","clearcut","Yasir",2008-11-06
"CSP22","forest","Yasir",2008-08-21
"CSP23","forest","Yasir",2009-01-10
"CSP24","grassland","Yasir",2008-12-28
"CSP25","forest","Jason",2009-03-02
"CSP26","clearcut","Yasir",2008-07-26
"CSP27","forest","Yasir",2009-04-10
